join_day,first_id,last_id
2025-04-04,37706050,37709650
2025-04-05,37710850,37715650
2025-04-06,37716850,37720450
2025-04-07,37721650,37725250
2025-04-08,37726450,37728850
2025-04-09,37730050,37733650
2025-04-10,37734850,37737250
2025-04-11,37738450,37742050
2025-04-12,37743250,37748050
2025-04-13,37749250,37752850
2025-04-14,37754050,37756450
2025-04-15,37757650,37761250
2025-04-16,37762450,37766050
2025-04-17,37767250,37769650
2025-04-18,37770850,37774450
2025-04-19,37775650,37780450
2025-04-20,37781650,37785250
2025-04-21,37786450,37788850
2025-04-22,37790050,37793650
2025-04-23,37794850,37797250
2025-04-24,37798450,37800850
2025-04-25,37802050,37805650
2025-04-26,37806850,37811650
2025-04-27,37812850,37816450
2025-04-28,37817650,37821250
2025-04-29,37822450,37826050
2025-04-30,37827250,37828450
2025-05-01,37830850,37834450
2025-05-02,37835650,37839250
2025-05-03,37840450,37844050
2025-05-04,37845250,37847650
2025-05-05,37850050,37852450
2025-05-06,37854850,37856050
2025-05-07,37857250,37860850
2025-05-08,37862050,37864450
2025-05-09,37865650,37869250
2025-05-10,37870450,37874050
2025-05-11,37875250,37878850
2025-05-12,37880050,37882450
2025-05-13,37883650,37887250
2025-05-14,37888450,37890850
2025-05-15,37892050,37894450
2025-05-16,37895650,37899250
2025-05-17,37900450,37904050
2025-05-18,37905250,37910050
2025-05-19,37912450,37912450
2025-05-20,37914850,37917250
2025-05-21,37918450,37920850
2025-05-22,37922050,37925650
2025-05-23,37926850,37929250
2025-05-24,37930450,37934050
2025-05-25,37935250,37938850
2025-05-26,37940050,37943650
2025-05-27,37944850,37948450
2025-05-28,37949650,37952050
2025-05-29,37953250,37956850
2025-05-30,37958050,37961650
2025-05-31,37962850,37967650
2025-06-01,37968850,37972450
2025-06-02,37973650,37976050
2025-06-03,37977250,37980850
2025-06-04,37982050,37985650
2025-06-05,37986850,37989250
2025-06-06,37990450,37994050
2025-06-07,37995250,37998850
2025-06-08,38000050,38004850
2025-06-09,38006050,38008450
2025-06-10,38010850,38013250
2025-06-11,38014450,38018050
2025-06-12,38019250,38021650
2025-06-13,38022850,38026450
2025-06-14,38027650,38031250
2025-06-15,38032450,38036050
2025-06-16,38037250,38040850
2025-06-17,38042050,38045650
2025-06-18,38046850,38049250
2025-06-19,38050450,38054050
2025-06-20,38055250,38058850
2025-06-21,38060050,38063650
2025-06-22,38064850,38068450
2025-06-23,38069650,38070850
2025-06-24,38073250,38076850
2025-06-25,38078050,38081650
2025-06-26,38082850,38085250
2025-06-27,38086450,38090050
2025-06-28,38091250,38094850
2025-06-29,38096050,38098450
2025-06-30,38099650,38103250
2025-07-01,38104450,38108050
2025-07-02,38109250,38111650
2025-07-03,38112850,38116450
2025-07-04,38117650,38121250
2025-07-05,38122450,38126050
2025-07-06,38127250,38129650
2025-07-07,38130850,38134450
2025-07-08,38135650,38139250
2025-07-09,38140450,38142850
2025-07-10,38144050,38147650
2025-07-11,38148850,38152450
2025-07-12,38153650,38157250
2025-07-13,38158450,38160850
2025-07-14,38163250,38166850
2025-07-15,38168050,38171650
2025-07-16,38172850,38176450
2025-07-17,38178850,38181250
2025-07-18,38182450,38186050
2025-07-19,38187250,38190850
2025-07-20,38192050,38195650
2025-07-21,38196850,38200450
2025-07-22,38201650,38205250
2025-07-23,38206450,38210050
2025-07-24,38211250,38214850
2025-07-25,38216050,38219650
2025-07-26,38220850,38225650
2025-07-27,38226850,38230450
2025-07-28,38231650,38235250
2025-07-29,38236450,38240050
2025-07-30,38241250,38243650
2025-07-31,38246050,38250850
2025-08-01,38252050,38255650
2025-08-02,38256850,38260450
2025-08-03,38261650,38265250
2025-08-04,38266450,38270050
2025-08-05,38271250,38274850
2025-08-06,38276050,38279650
2025-08-07,38280850,38284450
2025-08-08,38285650,38289250
2025-08-09,38290450,38294050
2025-08-10,38295250,38300050
2025-08-11,38301250,38303650
2025-08-12,38304850,38308450
2025-08-13,38309650,38313250
2025-08-14,38314450,38318050
2025-08-15,38319250,38322850
2025-08-16,38324050,38327650
2025-08-17,38328850,38332450
2025-08-18,38333650,38337250
2025-08-19,38338450,38342050
2025-08-20,38343250,38346850
2025-08-21,38348050,38351650
2025-08-22,38352850,38356450
2025-08-23,38357650,38361250
2025-08-24,38362450,38366050
2025-08-25,38367250,38370850
2025-08-26,38372050,38375650
2025-08-27,38376850,38380450
2025-08-28,38381650,38385250
2025-08-29,38386450,38390050
2025-08-30,38391250,38394850
2025-08-31,38396050,38399650
2025-09-01,38400850,38404450
2025-09-02,38405650,38409250
2025-09-03,38410450,38412850
2025-09-04,38414050,38417650
2025-09-05,38418850,38421250
2025-09-06,38422450,38427250
2025-09-07,38428450,38432050
2025-09-08,38433250,38436850
2025-09-09,38438050,38440450
2025-09-10,38441650,38445250
2025-09-11,38446450,38450050
2025-09-12,38451250,38453650
2025-09-13,38454850,38459650
2025-09-14,38460850,38464450
2025-09-15,38465650,38469250
2025-09-16,38470450,38472850
2025-09-17,38474050,38476450
2025-09-18,38477650,38481250
2025-09-19,38482450,38484850
2025-09-20,38486050,38490850
2025-09-21,38492050,38495650
2025-09-22,38496850,38499250
2025-09-23,38500450,38502850
2025-09-24,38504050,38507650
2025-09-25,38508850,38511250
2025-09-26,38512450,38516050
2025-09-27,38517250,38520850
2025-09-28,38522050,38525650
2025-09-29,38526850,38529250
2025-09-30,38530450,38532850
